shape,disturbance,dtw_seds,dtw_seds_clf,dtw_l1_seds,norm_seds,norm_seds_clf,norm_l1_seds
WShape,with_llc_unmatched_multisine,9984.212528018637,223.329758331261,120.66797172136668,1.0,0.022368289707829433,0.012085877717720538
WShape,with_llc_unmatched_pulse,10195.484021723638,543.6095988865146,155.20571574974534,1.0,0.05331866517844952,0.015222986512366327
Worm,no_llc_pulses,106576.59273969327,5563.014870324344,561.2228492530373,1.0,0.052197342092852074,0.0052659109737518955
Worm,with_llc_matched_chirp,129.66007199881918,37.16765081401294,16.8570476714524,1.0,0.2866545594263701,0.13000955044669354
Worm,with_llc_matched_const,105.17553168819863,25.76486808721275,11.112548666314932,1.0,0.24497017199394613,0.1056571665286084
Worm,with_llc_matched_multisine,103.05036076825716,27.964088065077885,12.55974027307,1.0,0.2713633203862759,0.12187963418502466
Worm,with_llc_matched_multisine_unmatched_pulse,2083.595760665382,582.0161425581658,144.636304157899,1.0,0.27933256226836584,0.06941668191516688
Worm,with_llc_matched_pulse,105.19879355915903,30.3504919416625,13.312506474097994,1.0,0.2885060837184864,0.12654618958735153
Worm,with_llc_unmatched_chirp,1562.2849207786878,717.6542192678129,426.6937050134873,1.0,0.4593619318236224,0.27312156658390513
Worm,with_llc_unmatched_const,3709.406727705281,1012.2379090558742,105.19001616098255,1.0,0.2728840440967406,0.0283576388038891
Worm,with_llc_unmatched_multisine,373.2883433720245,195.595969192946,117.0963939750136,1.0,0.5239809189487931,0.31368885756583526
Worm,with_llc_unmatched_pulse,2092.4151952461716,580.5044575401093,144.68916913696506,1.0,0.27743272886708953,0.06914935882022327
