shape,disturbance,dtw_node,dtw_node_clf,dtw_l1_node,norm_node,norm_node_clf,norm_l1_node
CShape,with_llc_unmatched_multisine,2480.91416536433,1497.2404266881838,344.07949220330755,1.0,0.6035035180140178,0.13869060727974777
CShape,with_llc_unmatched_pulse,4754.398303798664,2463.989082310363,475.7373010535093,1.0,0.5182546612347745,0.10006256747008455
DoubleBendedLine,no_llc_pulses,6175.973225256098,2709.637929215197,582.1810272574179,1.0,0.4387386133952737,0.09426547137164389
DoubleBendedLine,with_llc_matched_chirp,9259.199977243887,2799.2258087168534,843.0266125325215,1.0,0.3023183229216826,0.09104745708100136
DoubleBendedLine,with_llc_matched_const,9211.09172997859,2797.017176110044,842.7060070641212,1.0,0.303657509674648,0.09148817879225267
DoubleBendedLine,with_llc_matched_multisine,9182.061783924375,2797.683659028353,841.5097739628919,1.0,0.30469013657982974,0.09164714785911995
DoubleBendedLine,with_llc_matched_multisine_unmatched_pulse,12819.242148064986,3228.262063499548,893.1724121934631,1.0,0.2518294003820531,0.06967435374705702
DoubleBendedLine,with_llc_matched_pulse,9282.447225072485,2804.8623340968693,842.6210244046574,1.0,0.30216841163618535,0.09077574091977426
DoubleBendedLine,with_llc_unmatched_chirp,11657.724151814142,3020.7025409784565,885.018577614618,1.0,0.2591159733787648,0.07591692564426428
DoubleBendedLine,with_llc_unmatched_const,9535.75763415434,2991.889799171208,854.8397869201276,1.0,0.3137548073217716,0.08964571245585536
DoubleBendedLine,with_llc_unmatched_multisine,8740.973547669291,2630.6189928473905,816.0566526116544,1.0,0.30095263170643316,0.09335992703344231
DoubleBendedLine,with_llc_unmatched_pulse,12841.430714822,3227.9074745412167,894.4285255839511,1.0,0.25136665424791493,0.06965178144453736
GShape,no_llc_pulses,6068.821953162798,3008.8597086477025,458.0494594659254,1.0,0.49578974830191214,0.0754758440766598
GShape,with_llc_matched_chirp,9728.567724000137,4199.467025888128,1115.9737288771432,1.0,0.4316634416316131,0.1147109996596995
GShape,with_llc_matched_const,9730.292660377434,4191.818917638489,1114.5717487350707,1.0,0.4308009084565284,0.11454658021476581
GShape,with_llc_matched_multisine,9725.189412074777,4189.993433064319,1113.519339003029,1.0,0.430839262406759,0.11449847317323049
GShape,with_llc_matched_multisine_unmatched_pulse,10572.133969631912,4503.62461058528,1158.0807302046194,1.0,0.42599011926275104,0.10954086786368449
GShape,with_llc_matched_pulse,9743.354589237866,4196.039201316357,1114.6868585005132,1.0,0.4306565221336746,0.11440483339606189
GShape,with_llc_unmatched_chirp,10149.827437376087,4515.2803111741505,1161.2878465419494,1.0,0.4448627662916633,0.1144145409079155
GShape,with_llc_unmatched_const,9211.646603667332,4355.701224618507,1132.355454122754,1.0,0.4728471913896935,0.1229264976005421
GShape,with_llc_unmatched_multisine,9277.020304574546,3972.601872528418,1093.2373432132351,1.0,0.428219594449902,0.11784358633710808
GShape,with_llc_unmatched_pulse,10578.922067295798,4503.607726531841,1159.1741303353008,1.0,0.4257151813656437,0.10957393607415153
PShape,no_llc_pulses,6152.506779265127,4406.831560700043,718.629645399612,1.0,0.7162660227456763,0.1168027393031897
PShape,with_llc_matched_chirp,6570.824110995169,2355.6307631711556,490.7115619062361,1.0,0.35849852672656446,0.07468036788340032
